Fecha;Comuna;Validaciones;Buses_operativos;Dia
22-08-2025;Maipu;42050;377;laboral
22-08-2025;Vitacura;50130;333;laboral
22-08-2025;San Ram—n;10457;305;laboral
22-08-2025;Santiago;58441;716;laboral
22-08-2025;Maipœ;13708;171;laboral
23-08-2025;Puente Alto;8918;500;sabado
23-08-2025;La Florida;33523;736;sabado
23-08-2025;„u–oa;8425;585;sabado
23-08-2025;Las Condes;57627;763;sabado
23-08-2025;Santiago;6526;505;sabado
24-08-2025;Maipœ;33442;522;domingo
24-08-2025;Puente Alto;18386;224;domingo
24-08-2025;La Florida;39539;431;domingo
24-08-2025;„u–oa;54218;704;domingo
24-08-2025;Las Condes;56398;724;domingo
25-08-2025;Santiago;59431;621;laboral
25-08-2025;Maipœ;26390;580;laboral
25-08-2025;Puente Alto;45836;196;laboral
25-08-2025;San Bernardo;44233;192;laboral
25-08-2025;Estaci—n Central;14617;401;laboral
26-08-2025;Santiago;14542;309;laboral
26-08-2025;La Florida;44781;619;laboral
26-08-2025;Puente Alto;35408;396;laboral
26-08-2025;Independencia;33347;189;laboral
26-08-2025;El bosque;55230;788;laboral
27-08-2025;Cerronavia;34786;413;laboral
27-08-2025;Espejo;46013;661;laboral
27-08-2025;Maipu;35290;303;laboral
27-08-2025;Vitacura;36230;507;laboral
27-08-2025;San Ram—n;29820;167;laboral
28-08-2025;Santiago;58890;309;laboral
28-08-2025;Maipœ;45722;598;laboral
28-08-2025;Puente Alto;13158;793;laboral
28-08-2025;La Florida;28133;307;laboral
28-08-2025;„u–oa;36284;789;laboral
29-08-2025;Las Condes;22000;332;laboral
29-08-2025;Santiago;44157;214;laboral
29-08-2025;Maipœ;24516;398;laboral
29-08-2025;Puente Alto;45066;287;laboral
29-08-2025;La Florida;39344;217;laboral
30-08-2025;„u–oa;26579;298;sabado
30-08-2025;Las Condes;39976;628;sabado
30-08-2025;Santiago;54128;369;sabado
30-08-2025;Maipœ;55543;512;sabado
30-08-2025;Puente Alto;17350;214;sabado
31-08-2025;San Bernardo;29180;409;domingo
31-08-2025;Estaci—n Central;21911;443;domingo
31-08-2025;Santiago;32020;505;domingo
31-08-2025;La Florida;24374;401;domingo
31-08-2025;Puente Alto;33970;526;domingo
01-09-2025;Independencia;45839;690;laboral
01-09-2025;El bosque;25459;248;laboral
01-09-2025;Cerronavia;26911;651;laboral
01-09-2025;Espejo;56004;204;laboral
01-09-2025;Maipu;59879;459;laboral
02-09-2025;Vitacura;37124;723;laboral
02-09-2025;San Ram—n;41297;753;laboral
02-09-2025;Santiago;45396;444;laboral
02-09-2025;Maipœ;7975;732;laboral
02-09-2025;Puente Alto;43719;351;laboral
03-09-2025;La Florida;14282;460;laboral
03-09-2025;„u–oa;45062;205;laboral
03-09-2025;Las Condes;13151;326;laboral
03-09-2025;Santiago;54851;614;laboral
03-09-2025;Maipœ;9727;194;laboral
04-09-2025;Puente Alto;38088;567;laboral
04-09-2025;La Florida;44650;629;laboral
04-09-2025;„u–oa;13599;682;laboral
04-09-2025;Las Condes;57842;704;laboral
04-09-2025;Santiago;12296;627;laboral
05-09-2025;Maipœ;18926;245;laboral
05-09-2025;Puente Alto;38355;400;laboral
05-09-2025;San Bernardo;39824;532;laboral
05-09-2025;Estaci—n Central;28891;303;laboral
05-09-2025;Santiago;8282;502;laboral
06-09-2025;La Florida;20908;474;sabado
06-09-2025;Puente Alto;42867;309;sabado
06-09-2025;Independencia;52065;745;sabado
06-09-2025;El bosque;12238;493;sabado
06-09-2025;Cerronavia;38220;188;sabado
07-09-2025;Espejo;7772;350;domingo
07-09-2025;Maipu;49325;622;domingo
07-09-2025;Vitacura;44164;331;domingo
07-09-2025;San Ram—n;23605;663;domingo
07-09-2025;Santiago;58263;523;domingo
08-09-2025;Maipœ;52143;257;laboral
08-09-2025;Puente Alto;21776;165;laboral
08-09-2025;La Florida;21712;330;laboral
08-09-2025;„u–oa;18703;541;laboral
08-09-2025;Las Condes;34788;375;laboral
09-09-2025;Santiago;58763;256;laboral
09-09-2025;Maipœ;46630;274;laboral
09-09-2025;Puente Alto;20543;773;laboral
09-09-2025;La Florida;42644;491;laboral
09-09-2025;„u–oa;43733;210;laboral
10-09-2025;Las Condes;43382;763;laboral
10-09-2025;Santiago;21484;545;laboral
10-09-2025;Maipœ;33109;519;laboral
10-09-2025;Puente Alto;50199;362;laboral
10-09-2025;San Bernardo;30353;172;laboral
11-09-2025;Estaci—n Central;27127;329;laboral
11-09-2025;Santiago;59410;702;laboral
11-09-2025;La Florida;55093;699;laboral
11-09-2025;Puente Alto;40248;418;laboral
11-09-2025;Independencia;27751;328;laboral
12-09-2025;El bosque;6277;424;laboral
12-09-2025;Cerronavia;37262;426;laboral
12-09-2025;Espejo;30670;493;laboral
12-09-2025;Maipu;51785;469;laboral
12-09-2025;Vitacura;24059;378;laboral
13-09-2025;San Ram—n;17453;179;sabado
13-09-2025;Santiago;48518;611;sabado
13-09-2025;Maipœ;37377;437;sabado
13-09-2025;Puente Alto;5434;528;sabado
13-09-2025;La Florida;24882;192;sabado
14-09-2025;„u–oa;28504;390;domingo
14-09-2025;Las Condes;34901;249;domingo
14-09-2025;Santiago;17734;545;domingo
14-09-2025;Maipœ;43062;755;domingo
14-09-2025;Puente Alto;44411;683;domingo
15-09-2025;La Florida;48993;360;laboral
15-09-2025;„u–oa;59044;750;laboral
15-09-2025;Las Condes;44880;657;laboral
15-09-2025;Santiago;11435;725;laboral
15-09-2025;Maipœ;8128;174;laboral
16-09-2025;Puente Alto;9703;678;laboral
16-09-2025;San Bernardo;12886;477;laboral
16-09-2025;Estaci—n Central;38228;510;laboral
16-09-2025;Santiago;16723;305;laboral
16-09-2025;La Florida;22663;276;laboral
17-09-2025;Puente Alto;9755;283;laboral
17-09-2025;Independencia;41257;556;laboral
17-09-2025;El bosque;41740;682;laboral
17-09-2025;Cerronavia;50667;593;laboral
17-09-2025;Espejo;23922;694;laboral
18-09-2025;Maipu;35277;259;laboral
18-09-2025;Vitacura;39815;606;laboral
18-09-2025;San Ram—n;54521;400;laboral
18-09-2025;Santiago;52467;331;laboral
18-09-2025;Maipœ;35121;295;laboral
19-09-2025;Puente Alto;30279;636;laboral
19-09-2025;La Florida;6233;693;laboral
19-09-2025;„u–oa;9437;586;laboral
19-09-2025;Las Condes;33237;437;laboral
19-09-2025;Santiago;7674;628;laboral
20-09-2025;Maipœ;34767;428;sabado
20-09-2025;Puente Alto;50953;622;sabado
20-09-2025;La Florida;22334;498;sabado
20-09-2025;„u–oa;50185;794;sabado
20-09-2025;Las Condes;40370;559;sabado
21-09-2025;Santiago;27100;369;domingo
21-09-2025;Maipœ;59632;616;domingo
21-09-2025;Puente Alto;31459;715;domingo
21-09-2025;San Bernardo;44538;504;domingo
21-09-2025;Estaci—n Central;57774;368;domingo
22-09-2025;Santiago;18742;629;laboral
22-09-2025;La Florida;21569;731;laboral
22-09-2025;Puente Alto;24633;498;laboral
22-09-2025;Independencia;18313;648;laboral
22-09-2025;El bosque;35442;157;laboral
23-09-2025;Cerronavia;55257;524;laboral
23-09-2025;Espejo;34587;295;laboral
23-09-2025;Maipu;8003;504;laboral
23-09-2025;Vitacura;20662;510;laboral
23-09-2025;San Ram—n;37819;709;laboral
24-09-2025;Santiago;56113;789;laboral
24-09-2025;Maipœ;32083;244;laboral
24-09-2025;Puente Alto;26795;726;laboral
24-09-2025;La Florida;52724;173;laboral
24-09-2025;„u–oa;32776;636;laboral
25-09-2025;Las Condes;22426;150;laboral
25-09-2025;Santiago;44110;608;laboral
25-09-2025;Maipœ;40512;448;laboral
25-09-2025;Puente Alto;37413;692;laboral
25-09-2025;La Florida;52307;559;laboral
26-09-2025;„u–oa;18237;235;laboral
26-09-2025;Las Condes;50143;763;laboral
26-09-2025;Santiago;50606;577;laboral
26-09-2025;Maipœ;37578;643;laboral
26-09-2025;Puente Alto;17927;603;laboral
27-09-2025;San Bernardo;5211;390;sabado
27-09-2025;Estaci—n Central;26937;671;sabado
27-09-2025;Santiago;46426;743;sabado
27-09-2025;La Florida;13996;669;sabado
27-09-2025;Puente Alto;42064;220;sabado
28-09-2025;Independencia;24512;386;domingo
28-09-2025;El bosque;54929;175;domingo
28-09-2025;Cerronavia;30270;499;domingo
28-09-2025;Espejo;50945;161;domingo
28-09-2025;Maipu;52960;647;domingo
29-09-2025;Vitacura;17376;612;laboral
29-09-2025;San Ram—n;32753;655;laboral
29-09-2025;Santiago;18641;413;laboral
29-09-2025;Maipœ;15084;268;laboral
29-09-2025;Puente Alto;54747;485;laboral
30-09-2025;La Florida;5045;548;laboral
30-09-2025;„u–oa;6721;430;laboral
30-09-2025;Las Condes;48360;237;laboral
30-09-2025;Santiago;12680;534;laboral
30-09-2025;Maipœ;33385;411;laboral
01-10-2025;Puente Alto;45181;241;laboral
01-10-2025;La Florida;43879;430;laboral
01-10-2025;„u–oa;59546;387;laboral
01-10-2025;Las Condes;31414;539;laboral
01-10-2025;Santiago;39744;536;laboral
02-10-2025;Maipœ;35391;373;laboral
02-10-2025;Puente Alto;47598;202;laboral
02-10-2025;San Bernardo;36908;166;laboral
02-10-2025;Estaci—n Central;33121;391;laboral
02-10-2025;Santiago;23326;212;laboral
03-10-2025;La Florida;25425;182;laboral
03-10-2025;Puente Alto;16917;410;laboral
03-10-2025;Independencia;57265;692;laboral
03-10-2025;El bosque;38991;230;laboral
03-10-2025;Cerronavia;5785;498;laboral
04-10-2025;Espejo;11549;551;sabado
04-10-2025;Maipu;28379;174;sabado
04-10-2025;Vitacura;32118;406;sabado
04-10-2025;San Ram—n;32699;383;sabado
04-10-2025;Santiago;40578;655;sabado
05-10-2025;Maipœ;52305;517;domingo
05-10-2025;Puente Alto;43541;159;domingo
05-10-2025;La Florida;51646;698;domingo
05-10-2025;„u–oa;23506;774;domingo
05-10-2025;Las Condes;52672;505;domingo
06-10-2025;Santiago;32675;657;laboral
06-10-2025;Maipœ;47588;653;laboral
06-10-2025;Puente Alto;41220;172;laboral
06-10-2025;La Florida;41988;679;laboral
06-10-2025;„u–oa;38868;518;laboral
07-10-2025;Las Condes;33847;600;laboral
07-10-2025;Santiago;58778;765;laboral
07-10-2025;Maipœ;55761;468;laboral
07-10-2025;Puente Alto;35886;229;laboral
07-10-2025;San Bernardo;12488;176;laboral
08-10-2025;Estaci—n Central;12888;159;laboral
08-10-2025;Santiago;52954;268;laboral
08-10-2025;La Florida;58705;284;laboral
08-10-2025;Puente Alto;37902;172;laboral
08-10-2025;Independencia;41455;525;laboral
09-10-2025;El bosque;29070;595;laboral
09-10-2025;Cerronavia;51009;726;laboral
09-10-2025;Espejo;22975;471;laboral
09-10-2025;Maipu;14466;383;laboral
09-10-2025;Vitacura;49631;323;laboral
10-10-2025;San Ram—n;26007;204;laboral
10-10-2025;Santiago;8713;794;laboral
10-10-2025;Maipœ;33436;607;laboral
10-10-2025;Puente Alto;20577;320;laboral
10-10-2025;La Florida;44353;223;laboral
11-10-2025;„u–oa;44520;630;sabado
11-10-2025;Las Condes;6713;680;sabado
11-10-2025;Santiago;25028;253;sabado
11-10-2025;Maipœ;12886;484;sabado
11-10-2025;Puente Alto;56015;476;sabado
12-10-2025;La Florida;17138;712;domingo
12-10-2025;„u–oa;32191;762;domingo
12-10-2025;Las Condes;33038;501;domingo
12-10-2025;Santiago;32521;441;domingo
12-10-2025;Maipœ;37912;494;domingo
13-10-2025;Puente Alto;33978;244;laboral
13-10-2025;San Bernardo;23769;162;laboral
13-10-2025;Estaci—n Central;56895;675;laboral
13-10-2025;Santiago;9253;220;laboral
13-10-2025;La Florida;55482;376;laboral
14-10-2025;Puente Alto;25582;754;laboral
14-10-2025;Independencia;12016;539;laboral
14-10-2025;El bosque;6627;199;laboral
14-10-2025;Cerronavia;52264;651;laboral
14-10-2025;Espejo;35213;286;laboral
15-10-2025;Maipu;11184;698;laboral
15-10-2025;Vitacura;18260;619;laboral
15-10-2025;San Ram—n;47293;447;laboral
15-10-2025;Santiago;40971;596;laboral
15-10-2025;Maipœ;50188;243;laboral
16-10-2025;Puente Alto;41428;676;laboral
16-10-2025;La Florida;14334;271;laboral
16-10-2025;„u–oa;40268;787;laboral
16-10-2025;Las Condes;39132;694;laboral
16-10-2025;Santiago;53759;209;laboral
17-10-2025;Maipœ;15494;663;laboral
17-10-2025;Puente Alto;43312;540;laboral
17-10-2025;La Florida;53081;166;laboral
17-10-2025;„u–oa;38393;324;laboral
17-10-2025;Las Condes;36244;675;laboral
18-10-2025;Santiago;47183;261;sabado
18-10-2025;Maipœ;21650;581;sabado
18-10-2025;Puente Alto;19243;656;sabado
18-10-2025;San Bernardo;31117;626;sabado
18-10-2025;Estaci—n Central;45971;190;sabado
19-10-2025;Santiago;38897;435;domingo
19-10-2025;La Florida;34677;459;domingo
19-10-2025;Puente Alto;41465;436;domingo
19-10-2025;Independencia;24150;599;domingo
19-10-2025;El bosque;18753;494;domingo
20-10-2025;Cerronavia;33203;493;laboral
20-10-2025;Espejo;53195;767;laboral
20-10-2025;Maipu;17926;569;laboral
20-10-2025;Vitacura;54077;625;laboral
20-10-2025;San Ram—n;50962;654;laboral
21-10-2025;Santiago;27928;783;laboral
21-10-2025;Maipœ;15222;598;laboral
21-10-2025;Puente Alto;51541;692;laboral
21-10-2025;La Florida;47448;348;laboral
21-10-2025;„u–oa;9150;647;laboral
22-10-2025;Las Condes;36186;166;laboral
22-10-2025;Santiago;16106;699;laboral
22-10-2025;Maipœ;59915;659;laboral
22-10-2025;Puente Alto;48105;410;laboral
22-10-2025;La Florida;16040;285;laboral
23-10-2025;„u–oa;28867;320;laboral
23-10-2025;Las Condes;32477;414;laboral
23-10-2025;Santiago;33317;745;laboral
23-10-2025;Maipœ;27205;751;laboral
23-10-2025;Puente Alto;43024;183;laboral
24-10-2025;San Bernardo;37310;304;laboral
24-10-2025;Estaci—n Central;42528;750;laboral
24-10-2025;Santiago;57877;694;laboral
24-10-2025;La Florida;12613;295;laboral
24-10-2025;Puente Alto;10752;197;laboral
25-10-2025;Independencia;23311;409;sabado
25-10-2025;El bosque;21063;725;sabado
25-10-2025;Cerronavia;27942;443;sabado
25-10-2025;Espejo;13080;554;sabado
25-10-2025;Maipu;39051;155;sabado
26-10-2025;Vitacura;34500;542;domingo
26-10-2025;San Ram—n;55781;233;domingo
26-10-2025;Santiago;35786;350;domingo
26-10-2025;Maipœ;30583;314;domingo
26-10-2025;Puente Alto;29173;742;domingo
27-10-2025;La Florida;11450;547;laboral
27-10-2025;„u–oa;48000;523;laboral
27-10-2025;Las Condes;38311;445;laboral
27-10-2025;Santiago;23247;757;laboral
27-10-2025;Maipœ;24835;340;laboral
28-10-2025;Puente Alto;23644;684;laboral
28-10-2025;La Florida;27785;200;laboral
28-10-2025;„u–oa;44372;775;laboral
28-10-2025;Las Condes;51328;765;laboral
28-10-2025;Santiago;41854;775;laboral
29-10-2025;Maipœ;5260;525;laboral
29-10-2025;Puente Alto;56330;262;laboral
29-10-2025;San Bernardo;21049;428;laboral
29-10-2025;Estaci—n Central;23236;547;laboral
29-10-2025;Santiago;47652;225;laboral
30-10-2025;La Florida;17006;756;laboral
30-10-2025;Puente Alto;57578;404;laboral
30-10-2025;Independencia;36002;353;laboral
30-10-2025;El bosque;29690;339;laboral
30-10-2025;Cerronavia;26671;283;laboral
31-10-2025;Espejo;47870;610;laboral
31-10-2025;Maipu;23839;306;laboral
31-10-2025;Vitacura;40295;302;laboral
31-10-2025;San Ram—n;18245;481;laboral
31-10-2025;Santiago;56154;519;laboral
01-11-2025;Maipœ;15482;217;sabado
01-11-2025;Puente Alto;18011;156;sabado
01-11-2025;La Florida;27100;270;sabado
01-11-2025;„u–oa;14251;341;sabado
01-11-2025;Las Condes;47074;598;sabado
02-11-2025;Santiago;44707;388;domingo
02-11-2025;Maipœ;40710;719;domingo
02-11-2025;Puente Alto;37518;714;domingo
02-11-2025;La Florida;36952;746;domingo
02-11-2025;„u–oa;33398;468;domingo
03-11-2025;Las Condes;6938;784;laboral
03-11-2025;Santiago;54369;714;laboral
03-11-2025;Maipœ;55110;659;laboral
03-11-2025;Puente Alto;23623;264;laboral
03-11-2025;San Bernardo;56029;662;laboral
04-11-2025;Estaci—n Central;15407;311;laboral
04-11-2025;Santiago;13360;522;laboral
04-11-2025;La Florida;43373;769;laboral
04-11-2025;Puente Alto;15404;704;laboral
04-11-2025;Independencia;36933;632;laboral
05-11-2025;El bosque;17951;427;laboral
05-11-2025;Cerronavia;44628;475;laboral
05-11-2025;Espejo;8910;765;laboral
05-11-2025;Maipu;23424;427;laboral
05-11-2025;Vitacura;36863;229;laboral
06-11-2025;San Ram—n;23506;728;laboral
06-11-2025;Santiago;21442;298;laboral
06-11-2025;Maipœ;22263;223;laboral
06-11-2025;Puente Alto;48973;441;laboral
06-11-2025;La Florida;26157;567;laboral
07-11-2025;„u–oa;55906;450;laboral
07-11-2025;Las Condes;22003;685;laboral
07-11-2025;Santiago;53178;406;laboral
07-11-2025;Maipœ;26623;383;laboral
07-11-2025;Puente Alto;8727;232;laboral
08-11-2025;La Florida;25608;348;sabado
08-11-2025;„u–oa;31458;229;sabado
08-11-2025;Las Condes;51393;621;sabado
08-11-2025;Santiago;33922;796;sabado
08-11-2025;Maipœ;52612;243;sabado
09-11-2025;Puente Alto;58652;330;domingo
09-11-2025;San Bernardo;15785;604;domingo
09-11-2025;Estaci—n Central;54569;535;domingo
09-11-2025;Santiago;32049;159;domingo
09-11-2025;La Florida;53356;721;domingo
10-11-2025;Puente Alto;43803;280;laboral
10-11-2025;Independencia;35357;348;laboral
10-11-2025;El bosque;48265;500;laboral
10-11-2025;Cerronavia;8266;403;laboral
10-11-2025;Espejo;9613;156;laboral
11-11-2025;Maipu;21642;407;laboral
11-11-2025;Vitacura;58391;685;laboral
11-11-2025;San Ram—n;31922;731;laboral
11-11-2025;Santiago;48308;634;laboral
11-11-2025;Maipœ;25569;684;laboral
12-11-2025;Puente Alto;39438;184;laboral
12-11-2025;La Florida;51064;500;laboral
12-11-2025;„u–oa;57085;537;laboral
12-11-2025;Las Condes;29397;471;laboral
12-11-2025;Santiago;25853;560;laboral
13-11-2025;Maipœ;57602;589;laboral
13-11-2025;Puente Alto;42016;451;laboral
13-11-2025;La Florida;41046;566;laboral
13-11-2025;„u–oa;53935;376;laboral
13-11-2025;Las Condes;43472;656;laboral
14-11-2025;Santiago;21407;258;laboral
14-11-2025;Maipœ;35171;271;laboral
14-11-2025;Puente Alto;55183;286;laboral
14-11-2025;San Bernardo;32216;451;laboral
14-11-2025;Estaci—n Central;48234;465;laboral
15-11-2025;Santiago;12414;373;sabado
15-11-2025;La Florida;44124;659;sabado
15-11-2025;Puente Alto;39476;576;sabado
15-11-2025;Independencia;12562;304;sabado
15-11-2025;El bosque;11623;638;sabado
16-11-2025;Cerronavia;12220;247;domingo
16-11-2025;Espejo;59515;414;domingo
16-11-2025;Maipu;37049;722;domingo
16-11-2025;Vitacura;15092;390;domingo
16-11-2025;San Ram—n;16991;323;domingo
17-11-2025;Santiago;50811;626;laboral
17-11-2025;Maipœ;53475;210;laboral
17-11-2025;Puente Alto;12181;155;laboral
17-11-2025;La Florida;42526;210;laboral
17-11-2025;„u–oa;8701;725;laboral
18-11-2025;Las Condes;36076;703;laboral
18-11-2025;Santiago;28294;206;laboral
18-11-2025;Maipœ;24711;543;laboral
18-11-2025;Puente Alto;9513;239;laboral
18-11-2025;La Florida;12660;510;laboral
19-11-2025;„u–oa;28413;651;laboral
19-11-2025;Las Condes;31440;268;laboral
19-11-2025;Santiago;5807;324;laboral
19-11-2025;Maipœ;30872;481;laboral
19-11-2025;Puente Alto;23262;796;laboral
20-11-2025;San Bernardo;55312;618;laboral
20-11-2025;Estaci—n Central;5167;740;laboral
20-11-2025;Santiago;26226;507;laboral
20-11-2025;La Florida;44087;362;laboral
20-11-2025;Puente Alto;53392;278;laboral
21-11-2025;Independencia;48555;403;laboral
21-11-2025;El bosque;44877;218;laboral
21-11-2025;Cerronavia;5939;492;laboral
21-11-2025;Espejo;59106;432;laboral
21-11-2025;Maipu;41142;152;laboral
22-11-2025;Vitacura;32841;366;sabado
22-11-2025;San Ram—n;57678;241;sabado
22-11-2025;Santiago;27506;323;sabado
22-11-2025;Maipœ;50013;182;sabado
22-11-2025;Puente Alto;52384;786;sabado
23-11-2025;La Florida;29116;571;domingo
23-11-2025;„u–oa;47235;223;domingo
23-11-2025;Las Condes;28890;591;domingo
23-11-2025;Santiago;32773;231;domingo
23-11-2025;Maipœ;32889;346;domingo
24-11-2025;Puente Alto;17258;416;laboral
24-11-2025;La Florida;44937;506;laboral
24-11-2025;„u–oa;44250;159;laboral
24-11-2025;Las Condes;8924;426;laboral
24-11-2025;Santiago;5132;413;laboral
25-11-2025;Maipœ;9786;504;laboral
25-11-2025;Puente Alto;44728;197;laboral
25-11-2025;San Bernardo;39555;547;laboral
25-11-2025;Estaci—n Central;49910;619;laboral
25-11-2025;Santiago;33387;789;laboral
26-11-2025;La Florida;32345;686;laboral
26-11-2025;Puente Alto;9087;272;laboral
26-11-2025;Independencia;57530;552;laboral
26-11-2025;El bosque;53497;304;laboral
26-11-2025;Cerronavia;39973;543;laboral
27-11-2025;Espejo;22869;426;laboral
27-11-2025;Maipu;17983;669;laboral
27-11-2025;Vitacura;36950;355;laboral
27-11-2025;San Ram—n;24851;609;laboral
27-11-2025;Santiago;11292;682;laboral
28-11-2025;Maipœ;29562;638;laboral
28-11-2025;Puente Alto;57773;477;laboral
28-11-2025;La Florida;25237;741;laboral
28-11-2025;„u–oa;31642;653;laboral
28-11-2025;Las Condes;30096;221;laboral
29-11-2025;Santiago;46898;300;sabado
29-11-2025;Maipœ;8566;283;sabado
29-11-2025;Puente Alto;11831;599;sabado
29-11-2025;La Florida;5331;501;sabado
29-11-2025;„u–oa;40894;247;sabado
30-11-2025;Las Condes;46418;692;domingo
30-11-2025;Santiago;45939;281;domingo
30-11-2025;Maipœ;22583;370;domingo
30-11-2025;Puente Alto;49599;680;domingo
30-11-2025;San Bernardo;31450;437;domingo
01-12-2025;Estaci—n Central;56478;491;laboral
01-12-2025;Santiago;10425;553;laboral
01-12-2025;La Florida;49838;260;laboral
01-12-2025;Puente Alto;51873;250;laboral
01-12-2025;Independencia;49785;528;laboral
02-12-2025;El bosque;12614;404;laboral
02-12-2025;Cerronavia;47689;773;laboral
02-12-2025;Espejo;8783;171;laboral
02-12-2025;Maipu;28078;173;laboral
02-12-2025;Vitacura;53714;689;laboral
03-12-2025;San Ram—n;10247;722;laboral
03-12-2025;Santiago;32175;446;laboral
03-12-2025;Maipœ;18824;563;laboral
03-12-2025;Puente Alto;55117;666;laboral
03-12-2025;La Florida;52793;500;laboral
04-12-2025;„u–oa;51438;414;laboral
04-12-2025;Las Condes;20598;422;laboral
04-12-2025;Santiago;28581;570;laboral
04-12-2025;Maipœ;44290;327;laboral
04-12-2025;Puente Alto;51510;378;laboral
05-12-2025;La Florida;21591;799;laboral
05-12-2025;„u–oa;58588;729;laboral
05-12-2025;Las Condes;52795;559;laboral
05-12-2025;Santiago;21093;178;laboral
05-12-2025;Maipœ;21481;641;laboral
06-12-2025;Puente Alto;51987;641;sabado
06-12-2025;San Bernardo;9549;782;sabado
06-12-2025;Estaci—n Central;42264;449;sabado
